Country,Both,Male,Female,national_dish,national_dish_wiki_link,image_link,aspect_ratio,order_2_cols,order_3_cols,order_4_cols
Cyprus,27.0,27.6,26.3,souvla,https://en.wikipedia.org/wiki/Souvla,cyprus.avif,1.4938,106,16,53
Dominica,27.0,25.1,29.0,mountain chicken,https://en.wikipedia.org/wiki/Mountain_chicken,dominica.avif,1.4735,24,73,95
Ecuador,27.0,26.4,27.7,encebollado,https://en.wikipedia.org/wiki/Encebollado,ecuador.avif,1.5000,107,128,137
Grenada,27.0,25.2,28.7,oil down,https://en.wikipedia.org/wiki/Oil_down,grenada.avif,1.5080,25,17,13
Costa Rica,26.9,26.7,27.1,casado,https://en.wikipedia.org/wiki/Casado,costa_rica.avif,1.3333,108,74,54
Czech Republic,26.9,27.8,26.0,vepřo knedlo zelo,https://en.wikipedia.org/wiki/Vep%C5%99o_knedlo_zelo,czech_republic.avif,1.3333,26,129,96
Nicaragua,26.9,26.0,27.8,gallo pinto,https://en.wikipedia.org/wiki/Gallo_pinto,nicaragua.avif,0.9040,109,18,138
Oman,26.9,26.8,27.1,shuwa,https://en.wikipedia.org/wiki/Quzi,oman.avif,1.0000,27,75,14
Slovenia,26.9,27.5,26.3,cremeschnitte,https://en.wikipedia.org/wiki/Cremeschnitte,slovenia.avif,1.3333,110,130,55
Seychelles,26.8,25.6,28.0,,,,,,,
Tunisia,26.8,26.0,27.5,couscous,https://en.wikipedia.org/wiki/Couscous,tunisia.avif,0.9068,28,19,97
Uruguay,26.8,26.7,26.9,chivito,https://en.wikipedia.org/wiki/Chivito_(sandwich),uruguay.avif,1.7699,111,76,139
Armenia,26.7,25.9,27.4,khorovats,https://en.wikipedia.org/wiki/Khorovats,armenia.avif,2.3564,29,131,15
Dominican Republic,26.7,26.0,27.4,,,,,,,
Moldova,26.7,26.3,27.1,mămăligă,https://en.wikipedia.org/wiki/M%C4%83m%C4%83lig%C4%83,moldova.avif,1.3333,112,20,56
Spain,26.7,27.4,26.0,tortilla de patatas,https://en.wikipedia.org/wiki/Spanish_omelette,spain.avif,1.5000,30,77,98
Belarus,26.6,27.1,26.2,draniki,https://en.wikipedia.org/wiki/Potato_pancake,belarus.avif,1.1665,113,132,140
Lithuania,26.6,27.3,26.0,bigos,https://en.wikipedia.org/wiki/Bigos,lithuania.avif,1.3333,31,21,16
Eswatini,26.5,24.1,28.9,,,,,,,
Guatemala,26.5,25.8,27.1,pepián,https://en.wikipedia.org/wiki/Pepi%C3%A1n,guatemala.avif,1.4901,114,78,57
Luxembourg,26.5,27.6,25.5,Judd mat Gaardebounen,https://en.wikipedia.org/wiki/Judd_mat_Gaardebounen,luxembourg.avif,0.6648,32,133,99
Russia,26.5,26.1,26.8,beef stroganoff,https://en.wikipedia.org/wiki/Beef_stroganoff,russia.avif,1.5000,115,22,141
Slovakia,26.5,27.4,25.7,pirohi,https://en.wikipedia.org/wiki/Pierogi,slovakia.avif,1.0047,33,79,17
Honduras,26.4,25.5,27.3,baleada,https://en.wikipedia.org/wiki/Baleada,honduras.avif,1.4778,116,134,58
Poland,26.4,27.0,25.7,bigos,https://en.wikipedia.org/wiki/Bigos,poland.avif,1.3333,34,23,100
Turkmenistan,26.4,26.4,26.4,,,,,,,
Germany,26.3,27.0,25.6,schweinshaxe,https://en.wikipedia.org/wiki/Schweinshaxe,germany.avif,1.3328,117,80,142
Guyana,26.3,25.0,27.6,pepperpot,https://en.wikipedia.org/wiki/Guyanese_pepperpot,guyana.avif,0.8000,35,135,18
Hungary,26.3,27.5,25.2,goulash,https://en.wikipedia.org/wiki/Goulash,hungary.avif,1.3333,118,24,59
Israel,26.3,26.3,26.2,falafel,https://en.wikipedia.org/wiki/Falafel,israel.avif,1.7778,36,81,101
Peru,26.3,25.7,26.9,ceviche,https://en.wikipedia.org/wiki/Peruvian_ceviche,peru.avif,1.3333,119,136,143
Algeria,26.2,25.5,27.0,couscous,https://en.wikipedia.org/wiki/Couscous,algeria.avif,0.9068,37,25,19
Brunei,26.2,25.8,26.6,ambuyat,https://en.wikipedia.org/wiki/Ambuyat,brunei.avif,1.3333,120,82,60
Cuba,26.2,25.6,26.7,ropa vieja,https://en.wikipedia.org/wiki/Ropa_vieja,cuba.avif,1.3333,38,137,102
Iran,26.2,25.3,27.2,abgoosht,https://en.wikipedia.org/wiki/Abgoosht,iran.avif,1.5009,121,26,144
Kyrgyzstan,26.2,25.6,26.8,beshbarmak,https://en.wikipedia.org/wiki/Beshbarmak,kyrgyzstan.avif,1.3758,39,83,20
Portugal,26.2,26.7,25.7,bacalhau,https://en.wikipedia.org/wiki/Bacalhau,portugal.avif,1.3333,122,138,61
Vanuatu,26.2,25.6,26.8,laplap,https://en.wikipedia.org/wiki/Laplap,vanuatu.avif,1.7778,40,27,103
Albania,26.1,26.6,25.6,tavë kosi,https://en.wikipedia.org/wiki/Tav%C3%AB_kosi,albania.avif,1.3333,123,84,145
Bosnia and Herzegovina,26.1,26.5,25.7,Bosnian pot,https://en.wikipedia.org/wiki/Bosnian_pot,bosnia_and_herzegovina.avif,0.8791,41,139,21
Uzbekistan,26.1,25.9,26.3,Uzbek Plov,https://en.wikipedia.org/wiki/Uzbek_Plov,uzbekistan.avif,1.3333,124,28,62
Bulgaria,26.0,26.7,25.3,Shopska salad,https://en.wikipedia.org/wiki/Shopska_salad,bulgaria.avif,1.3333,42,85,104
Mongolia,26.0,25.5,26.4,buuz,https://en.wikipedia.org/wiki/Buuz,mongolia.avif,1.3333,125,140,146
Montenegro,26.0,26.5,25.5,njeguški pršut,https://en.wikipedia.org/wiki/Njegu%C5%A1ki_pr%C5%A1ut,montenegro.avif,0.7500,43,29,22
Norway,26.0,26.9,25.2,fårikål,https://en.wikipedia.org/wiki/F%C3%A5rik%C3%A5l,norway.avif,1.5000,126,86,63
Ukraine,26.0,26.4,25.8,chicken Kiev,https://en.wikipedia.org/wiki/Chicken_Kiev,ukraine.avif,1.3333,44,141,105
Bolivia,25.9,24.6,27.3,salteñas,https://en.wikipedia.org/wiki/Salte%C3%B1as,bolivia.avif,1.2500,127,30,147
Brazil,25.9,25.9,26.0,feijoada,https://en.wikipedia.org/wiki/Feijoada_(Brazilian_dish),brazil.avif,1.2761,45,87,23
Colombia,25.9,25.4,26.5,ajiaco,https://en.wikipedia.org/wiki/Ajiaco,colombia.avif,1.3333,128,142,64
Finland,25.9,26.5,25.3,rye bread,https://en.wikipedia.org/wiki/Ruisleip%C3%A4,finland.avif,1.3333,46,31,106
Iceland,25.9,26.7,25.1,lamb,https://en.wikipedia.org/wiki/Lamb_and_mutton,iceland.avif,1.5106,129,88,148
Latvia,25.8,26.8,25.1,layered rye bread,https://en.wikipedia.org/wiki/Layered_rye_bread,latvia.avif,1.0344,47,143,24
North Macedonia,25.8,26.4,25.3,tavče gravče,https://en.wikipedia.org/wiki/Tav%C4%8De_grav%C4%8De,north_macedonia.avif,1.4984,130,32,65
